seed,train_repeats,eval_epochs,table,data,all,none,epoch_reward_shape
2024,30,5,-1.4561721086502075,-3.3619487285614014,-2.683887004852295,-4.009428024291992,"(60, 81000)"
2025,30,5,-1.4367125034332275,-3.3919336795806885,-2.677320718765259,-4.002960681915283,"(60, 81000)"
2026,30,5,-1.4431182146072388,-3.3777241706848145,-2.685391902923584,-3.982840061187744,"(60, 81000)"
2027,30,5,-1.4505524635314941,-3.3876984119415283,-2.6690688133239746,-3.951853036880493,"(60, 81000)"
2028,30,5,-1.4358614683151245,-3.3314685821533203,-2.6680495738983154,-3.945706844329834,"(60, 81000)"
2029,30,5,-1.4540324211120605,-3.3562204837799072,-2.7063963413238525,-3.968409776687622,"(60, 81000)"
2030,30,5,-1.4272494316101074,-3.3682310581207275,-2.6776161193847656,-3.9472827911376953,"(60, 81000)"
2031,30,5,-1.4242323637008667,-3.331214189529419,-2.6574697494506836,-3.94735050201416,"(60, 81000)"
2032,30,5,-1.439499020576477,-3.338883876800537,-2.6646270751953125,-3.966932773590088,"(60, 81000)"
2033,30,5,-1.4544280767440796,-3.3619587421417236,-2.668647527694702,-3.963573455810547,"(60, 81000)"
2034,30,5,-1.4251080751419067,-3.3272197246551514,-2.6317193508148193,-3.9627254009246826,"(60, 81000)"
2035,30,5,-1.4247926473617554,-3.3553266525268555,-2.6460628509521484,-3.9622838497161865,"(60, 81000)"
2036,30,5,-1.452441930770874,-3.362727165222168,-2.676321506500244,-3.96679949760437,"(60, 81000)"
2037,30,5,-1.4296934604644775,-3.372030019760132,-2.6722910404205322,-3.965083360671997,"(60, 81000)"
2038,30,5,-1.4516417980194092,-3.356713056564331,-2.654536008834839,-3.959268569946289,"(60, 81000)"
2039,30,5,-1.4500861167907715,-3.3254079818725586,-2.6489169597625732,-3.9379799365997314,"(60, 81000)"
2040,30,5,-1.437842607498169,-3.3805184364318848,-2.6670100688934326,-3.9879086017608643,"(60, 81000)"
2041,30,5,-1.426370620727539,-3.3675520420074463,-2.6308093070983887,-3.9652445316314697,"(60, 81000)"
2042,30,5,-1.4178667068481445,-3.3402247428894043,-2.6553194522857666,-3.9731080532073975,"(60, 81000)"
2043,30,5,-1.453958511352539,-3.389981985092163,-2.687664270401001,-3.9760031700134277,"(60, 81000)"
